scenario,route,case,bg_db,solver,tech_shape,n_activities,n_products,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP2M_2050,landfill,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,0.00023535940185312582,0.08017090403622966,0.08704368949826691,0.030021798513534193,0.04131377173933569,0.5483609472339522,0.03273242903125697,6.4376647291765704e-06,3.861517889672576e-05,0.004831221386173144,1.0748209699302516,0.0004812051995798145,0.014808044053680379,0.0002941700846118725,7.134238781949259e-08,0.00010761650117863755,0.0004194198075612022,0.00044170447973670713,0.0007570052717888325
SSP2M_2050,landfill,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,0.00023535940185312582,0.08017090403622966,0.08704368949826691,0.030021798513534193,0.04131377173933569,0.5483609472339522,0.03273242903125697,6.4376647291765704e-06,3.861517889672576e-05,0.004831221386173144,1.0748209699302516,0.0004812051995798145,0.014808044053680379,0.0002941700846118725,7.134238781949259e-08,0.00010761650117863755,0.0004194198075612022,0.00044170447973670713,0.0007570052717888325
SSP2M_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.2379967443586637,-40.558402187759235,-41.6347104085047,-1.4288139563674398,-2.0040420514196606,16.638078481102735,-11.071461565709576,-0.01017077632862711,-0.0010137276042464006,-47.36091520132765,-14.883633584292314,-0.06010326969534412,-0.6976907125586703,-0.9594790514286499,-7.043367675282234e-06,-0.08535247832415438,-0.08956665935227501,-0.09374115133321913,-0.31003928283635
SSP2M_2050,recycling_postcons,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.4574202827833188,-78.74204883242238,-80.87599938737506,-3.498351415499472,-4.891004366682933,-12.829696303477476,-21.489070440914666,-0.019670197662723675,-0.001899171142292731,-90.63442206438116,-58.51521248296681,-0.11331024014718517,-1.4088077999638478,-1.8866674995592143,-1.469780138288663e-05,-0.16369840075174086,-0.174382981038241,-0.18260123469268852,-0.5780527163253507
SSP2M_2050,recycling_postcons,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.2379967443586637,-40.558402187759235,-41.6347104085047,-1.4288139563674398,-2.0040420514196606,16.638078481102735,-11.071461565709576,-0.01017077632862711,-0.0010137276042464006,-47.36091520132765,-14.883633584292314,-0.06010326969534412,-0.6976907125586703,-0.9594790514286499,-7.043367675282234e-06,-0.08535247832415438,-0.08956665935227501,-0.09374115133321913,-0.31003928283635
SSP2M_2050,recycling_postcons,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.21942353842465476,-38.183646644663106,-39.24128897887032,-2.069537459132034,-2.886962315263272,-29.467774784580236,-10.417608875205081,-0.009499421334096576,-0.0008854435380463308,-43.273506863053505,-43.63157889867446,-0.05320697045184103,-0.7111170874051778,-0.9271884481305653,-7.654433707604381e-06,-0.0783459224275865,-0.08481632168596619,-0.08886008335946952,-0.2680134334890008
SSP2M_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,4.194889238587512e-05,0.007424135520293489,0.010617218878329036,0.0006014980932772694,0.0008548541339928532,0.09645417825862534,0.0019070536625649835,2.784484303073146e-05,5.755013706712682e-05,0.00484962658890254,0.04880394938380475,-0.000148734223119231,0.0007374788654510802,-0.00015385301671264046,1.4164897738156924e-08,1.7637998677352208e-05,2.3162029186058958e-05,2.447821481920577e-05,0.0012886412439305343
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.23549368843978039,-43.706442674958105,-45.03606133999216,-2.5603792859520036,-3.5327371869958086,-42.843230632060695,-11.9176876441406,-0.010532051996683894,-0.0016149104878684642,-45.83928644075378,-52.56090279378752,-0.10626865378689536,-0.8919969774755507,-0.9837256181152458,-9.093450645945603e-06,-0.08501795303321374,-0.09388358289435987,-0.09860348289022801,-0.29492533175673613
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.23549368843978039,-43.706442674958105,-45.03606133999216,-2.5603792859520036,-3.5327371869958086,-42.843230632060695,-11.9176876441406,-0.010532051996683896,-0.0016149104878684642,-45.83928644075378,-52.56090279378753,-0.1062686537868954,-0.8919969774755507,-0.9837256181152458,-9.093450645945603e-06,-0.08501795303321374,-0.09388358289435987,-0.09860348289022801,-0.29492533175673613
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.2355356373321665,-43.71386681047848,-45.046678558870575,-2.5609807840452823,-3.533592041129802,-42.93968481031933,-11.919594697803165,-0.010559896839714634,-0.0016724606249355909,-45.84413606734264,-52.60970674317134,-0.10611991956377599,-0.8927344563410023,-0.9835717650985332,-9.10761554368376e-06,-0.08503559103189111,-0.09390674492354605,-0.09862796110504733,-0.296213973000667
